,년도,월,Model,판매량
365,2023,10,IONIQ 5 N (NE N),95
366,2023,10,Kona (SX2),1326
367,2023,10,Casper (AX EV),0
368,2023,10,Santa-Fe (MX5 HEV),4669
369,2023,10,GV70 (JK EV),240
370,2023,10,Niro Plus,218
371,2023,10,EV3,0
372,2023,10,EV9,833
373,2023,10,Bongo,4887
374,2023,11,Kona (SX2 EV),432
375,2023,11,Kona (SX2 HEV),1454
376,2023,11,IONIQ 6 (CE),618
377,2023,11,Grandeur (GN7),3308
378,2023,11,Santa-Fe (MX5),1708
379,2023,11,G70 S/B (IK S/B),16
380,2023,11,GV80 Coupe (JX Coupe),0
381,2023,11,Grandeur (GN7 HEV),4672
382,2023,11,IONIQ 5 N (NE N),54
383,2023,11,Kona (SX2),1323
384,2023,11,Casper (AX EV),0
385,2023,11,Santa-Fe (MX5 HEV),6949
386,2023,11,GV70 (JK EV),91
387,2023,11,Niro Plus,120
388,2023,11,EV3,0
389,2023,11,EV9,375
390,2023,11,Bongo,5855
391,2023,12,Kona (SX2 EV),212
392,2023,12,Kona (SX2 HEV),682
393,2023,12,IONIQ 6 (CE),183
394,2023,12,Grandeur (GN7),3610
395,2023,12,Santa-Fe (MX5),2011
396,2023,12,G70 S/B (IK S/B),21
397,2023,12,GV80 Coupe (JX Coupe),0
398,2023,12,Grandeur (GN7 HEV),4800
399,2023,12,IONIQ 5 N (NE N),28
400,2023,12,Kona (SX2),1218
401,2023,12,Casper (AX EV),0
402,2023,12,Santa-Fe (MX5 HEV),5616
403,2023,12,GV70 (JK EV),31
404,2023,12,Niro Plus,70
405,2023,12,EV3,0
406,2023,12,EV9,2688
407,2023,12,Bongo,3815
408,2024,1,Kona (SX2 EV),4
409,2024,1,Kona (SX2 HEV),683
410,2024,1,IONIQ 6 (CE),4
411,2024,1,Grandeur (GN7),1458
412,2024,1,Santa-Fe (MX5),2986
413,2024,1,G70 S/B (IK S/B),15
414,2024,1,GV80 Coupe (JX Coupe),245
415,2024,1,Grandeur (GN7 HEV),2177
416,2024,1,IONIQ 5 N (NE N),5
417,2024,1,Kona (SX2),1289
418,2024,1,Casper (AX EV),0
419,2024,1,Santa-Fe (MX5 HEV),5028
420,2024,1,GV70 (JK EV),37
421,2024,1,Niro Plus,2
422,2024,1,EV3,0
423,2024,1,EV9,449
424,2024,1,Bongo,3074
425,2024,2,Kona (SX2 EV),58
426,2024,2,Kona (SX2 HEV),403
427,2024,2,IONIQ 6 (CE),98
428,2024,2,Grandeur (GN7),1960
429,2024,2,Santa-Fe (MX5),2441
430,2024,2,G70 S/B (IK S/B),45
431,2024,2,GV80 Coupe (JX Coupe),377
432,2024,2,Grandeur (GN7 HEV),2003
433,2024,2,IONIQ 5 N (NE N),3
434,2024,2,Kona (SX2),994
435,2024,2,Casper (AX EV),0
436,2024,2,Santa-Fe (MX5 HEV),4972
437,2024,2,GV70 (JK EV),9
438,2024,2,Niro Plus,0
439,2024,2,EV3,0
440,2024,2,EV9,124
441,2024,2,Bongo,3077
442,2024,3,Kona (SX2 EV),352
443,2024,3,Kona (SX2 HEV),452
444,2024,3,IONIQ 6 (CE),936
445,2024,3,Grandeur (GN7),3130
446,2024,3,Santa-Fe (MX5),1903
447,2024,3,G70 S/B (IK S/B),12
448,2024,3,GV80 Coupe (JX Coupe),301
449,2024,3,Grandeur (GN7 HEV),2970
450,2024,3,IONIQ 5 N (NE N),47
451,2024,3,Kona (SX2),1943
452,2024,3,Casper (AX EV),0
453,2024,3,Santa-Fe (MX5 HEV),5981
454,2024,3,GV70 (JK EV),98
455,2024,3,Niro Plus,86
456,2024,3,EV3,0
457,2024,3,EV9,183
458,2024,3,Bongo,4584
459,2024,4,Kona (SX2 EV),208
